,nsites,elements,formula_pretty,volume,density,symmetry,symmetry_class,Oxidation,e0,CN_species1,CN_species2,CN1,CN2,CN_all
1,24,"[Element F, Element O, Element V]",V2O3F,260.2934114219479,4.309462504507525,Orthorhombic,4,3.5,5482.085,F,O,3,3,6
1,30,"[Element F, Element O, Element V]",V6O5F19,431.15643295081634,2.875486384718338,Triclinic,6,4.833333333333333,5473.772,F,O,3,1,4
1,41,"[Element F, Element Li, Element O, Element V]",Li11V6O5F19,450.9563977596564,3.03037782735964,Triclinic,6,3.0,5479.139,F,O,4,2,6
1,88,"[Element Li, Element O, Element P, Element V]",Li4V3P8O29,1175.1432660271932,2.521906301260807,Triclinic,6,4.666666666666667,5480.496,O,-,6,0,6
1,28,"[Element Li, Element O, Element Sn, Element Te, Element V]",Li4V3Sn3(TeO8)2,345.4344155210061,5.037406699008076,Monoclinic,3,2.3333333333333335,5478.161,O,-,6,0,6
1,108,"[Element O, Element P, Element Pb, Element V]",VPPbO6,1554.5517855344187,4.936416699354469,Orthorhombic,4,5.0,5469.347,O,-,3,0,3
1,48,"[Element K, Element O, Element Sb, Element V]",KV2SbO8,758.3964304708423,3.422132207031295,Orthorhombic,4,5.0,5470.955,O,-,4,0,4
1,38,"[Element Li, Element Mn, Element O, Element P, Element V]",Li2MnV(PO4)3,462.6967690588964,2.9046223304256453,Triclinic,6,4.0,5479.597,O,-,6,0,6
1,20,"[Element Cr, Element O, Element V]",VCrO3,209.82863040112494,4.777894950836762,Triclinic,6,3.0,5481.021,O,-,6,0,6
1,24,"[Element Co, Element O, Element P, Element V]",V3Co(PO4)4,288.9559603140862,3.399987097106125,Monoclinic,3,3.3333333333333335,5482.238,O,-,6,0,6
1,88,"[Element Li, Element O, Element P, Element V]",Li4V3P8O29,1175.6950612901912,2.5207226814629715,Triclinic,6,4.666666666666667,5480.529,O,-,6,0,6
1,26,"[Element F, Element Li, Element O, Element V]",Li6V(OF)3,261.8422097259456,2.506019287668734,Triclinic,6,3.0,5481.843,F,O,3,3,6
1,24,"[Element La, Element O, Element V]",LaVO4,344.52645851006787,4.8938919861180405,Monoclinic,3,5.0,5470.039,O,-,4,0,4
1,4,"[Element Cu, Element O, Element V]",VCuO2,46.53171212841521,5.227536422985184,Trigonal,7,3.0,5483.596,O,-,6,0,6
1,30,"[Element F, Element O, Element V]",V6O5F19,426.41788057372986,2.9074401171116753,Triclinic,6,4.833333333333333,5473.769,F,O,3,1,4
1,60,"[Element Li, Element O, Element P, Element V]",LiV3(P3O10)2,853.9059583693319,2.5886884886886063,Orthorhombic,4,3.0,5468.035,O,-,5,0,5
1,72,"[Element Li, Element O, Element P, Element V]",LiV2(PO4)3,887.514201164198,2.946735781715859,Monoclinic,3,4.0,5481.64,O,-,6,0,6
1,20,"[Element Ge, Element O, Element V, Element Zn]",VZn(GeO3)2,244.79171535263035,4.851907903408503,Monoclinic,3,2.0,5480.484,O,-,6,0,6
1,16,"[Element Ge, Element Li, Element O, Element V]",LiVGeO5,201.96807148539955,3.4616941763149045,Monoclinic,3,5.0,5468.665,O,-,4,0,4
1,52,"[Element C, Element Li, Element O, Element P, Element V]",Li3VPCO7,560.6169008884176,2.686458640970931,Triclinic,6,2.0,5478.316,O,-,6,0,6
1,34,"[Element Ni, Element O, Element P, Element V]",V3Ni(PO4)6,458.9242065931915,2.8271676186755745,Trigonal,7,5.0,5481.013,O,-,6,0,6
1,28,"[Element Li, Element O, Element Sb, Element V]",Li4V5Sb3O16,326.42290359116043,4.597406280391946,Triclinic,6,2.6,5481.449,O,-,6,0,6
1,42,"[Element Li, Element Ni, Element O, Element V]",Li7V6Ni5O24,427.11714699917707,4.01098202087926,Triclinic,6,5.0,5469.73,O,-,4,0,4
1,124,"[Element O, Element P, Element V]",V4(P2O7)3,1617.8013973709258,2.979056491682568,Orthorhombic,4,3.0,5476.617,O,-,6,0,6
1,40,"[Element Al, Element O, Element V]",AlV3O6,445.3555269424042,4.113394256195962,Trigonal,7,3.0,5482.733,O,-,6,0,6
1,18,"[Element O, Element Ta, Element V]",Ta2VO6,216.64768856000316,7.800112365953727,Tetragonal,5,2.0,5483.495,O,-,6,0,6
1,14,"[Element Cr, Element Li, Element O, Element V]",Li2V3CrO8,152.62074007798822,3.772129736023625,Monoclinic,3,3.6666666666666665,5485.439,O,-,4,0,4
1,32,"[Element F, Element O, Element V]",V4OF11,434.3869999472521,3.2779642058880163,Triclinic,6,3.25,5480.109,F,O,5,0,5
1,32,"[Element Cl, Element Cu, Element O, Element Pb, Element V]",V2Cu3Pb(ClO4)2,534.5427405985419,4.3404927209813176,Orthorhombic,4,5.0,5468.261,O,-,4,0,4
1,86,"[Element Li, Element O, Element P, Element V]",Li3V3P8O29,1170.2864999200679,2.5126749772177557,Triclinic,6,5.0,5480.553,O,-,6,0,6
1,112,"[Element La, Element Na, Element O, Element V]",Na3LaV2O8,1634.903429831243,3.556936251113533,Orthorhombic,4,5.0,5468.81,O,-,4,0,4
1,28,"[Element Cr, Element Li, Element O, Element Te, Element V]",Li4V3Cr3(TeO8)2,312.8330304270046,4.500006059174649,Triclinic,6,3.6666666666666665,5484.475,O,-,6,0,6
1,26,"[Element H, Element Li, Element O, Element P, Element V]",LiVP2HO8,279.6886923864491,2.9546935183050103,Triclinic,6,4.0,5478.459,O,-,6,0,6
1,32,"[Element Li, Element O, Element P, Element V]",LiVPO5,353.16034593219314,3.175752168236724,Triclinic,6,4.0,5479.723,O,-,6,0,6
1,24,"[Element Li, Element O, Element P, Element V]",Li2VP2O7,276.23579083205067,2.8706029114805527,Triclinic,6,2.0,5471.006,O,-,6,0,6
1,36,"[Element Fe, Element Ni, Element O, Element P, Element V]",VFe2Ni3(PO4)6,436.1449847298488,3.459092686316411,Trigonal,7,5.0,5481.19,O,-,6,0,6
1,28,"[Element Ag, Element Cu, Element O, Element V]",VCuAgO4,350.1628767663686,5.431767505155491,Orthorhombic,4,5.0,5468.775,O,-,4,0,4
1,48,"[Element O, Element V]",VO2,565.9527144585543,3.893628640578533,Tetragonal,5,4.0,5487.071,O,-,4,0,4
1,95,"[Element Cu, Element O, Element V]",V18Cu20O57,1050.3676462761773,4.900563531370508,Triclinic,6,4.777777777777778,5484.837,O,-,5,0,5
1,12,"[Element La, Element O, Element V]",LaVO4,187.39802389193812,4.498647422451785,Tetragonal,5,5.0,5468.822,O,-,4,0,4
1,80,"[Element Ge, Element Mg, Element O, Element V]",Mg3V2(GeO4)3,892.9193674905374,4.349486172478709,Cubic,1,3.0,5476.591,O,-,6,0,6
1,14,"[Element Al, Element O, Element V]",AlV2O4,149.17242732136614,4.293757448797917,Cubic,1,2.5,5483.816,O,-,6,0,6
1,15,"[Element Mg, Element O, Element V]",MgV4O10,213.1832251459849,3.0227382202156186,Orthorhombic,4,4.5,5469.287,O,-,4,0,4
1,32,"[Element Li, Element O, Element P, Element V]",LiVPO5,349.13448720736966,3.212371666002864,Monoclinic,3,4.0,5484.568,O,-,6,0,6
1,54,"[Element H, Element Li, Element O, Element P, Element V]",Li3V2P4(HO8)2,575.6866849764533,2.911028480877085,Monoclinic,3,3.5,5479.019,O,-,6,0,6
1,16,"[Element Al, Element Li, Element O, Element V]",Li2AlVO4,186.54685411357175,2.773741376231427,Orthorhombic,4,3.0,5468.578,O,-,4,0,4
1,40,"[Element O, Element P, Element V]",VP2O7,474.3454656675221,3.149013171065269,Monoclinic,3,4.0,5478.413,O,-,6,0,6
1,80,"[Element Li, Element Mn, Element O, Element P, Element V]",Li6MnV3(PO4)6,926.1505218847655,2.9376964530808602,Monoclinic,3,3.0,5477.658,O,-,6,0,6
1,14,"[Element O, Element V, Element Y]",YV2O4,183.9552179042572,4.599846113723276,Orthorhombic,4,2.5,5481.213,O,-,5,0,5
1,50,"[Element H, Element Li, Element O, Element P, Element V]",LiV2P4(HO8)2,551.4618324340227,2.9553035845261206,Triclinic,6,4.5,5479.97,O,-,6,0,6
1,26,"[Element Al, Element O, Element Sr, Element V, Element Y]",Sr2YAlV2O7,350.6797322284755,4.78261167979647,Orthorhombic,4,2.0,5482.902,O,V,4,1,5
1,26,"[Element O, Element V, Element Zn]",V3Zn2O8,289.81906645783374,4.7170152022089775,Hexagonal,2,4.0,5487.373,O,-,6,0,6
1,26,"[Element H, Element Na, Element O, Element S, Element V]",NaV3H6(SO7)2,270.06247072939186,2.889797916785132,Trigonal,7,3.0,5479.608,O,-,6,0,6
1,18,"[Element F, Element O, Element V]",V3(O2F)2,201.63799198892798,4.1969942076247255,Triclinic,6,3.3333333333333335,5485.648,F,O,3,3,6
1,100,"[Element Li, Element Na, Element O, Element V]",Na7Li3V10O30,1391.2632148062876,2.795642972749486,Triclinic,6,5.0,5471.967,O,-,4,0,4
1,20,"[Element O, Element P, Element V]",VP2O7,270.0351566604812,2.765788235678123,Triclinic,6,4.0,5479.331,O,-,6,0,6
1,23,"[Element Cr, Element Li, Element O, Element P, Element V]",Li3VCr(P2O7)2,277.96818403965045,2.8175478827492166,Triclinic,6,2.0,5473.122,O,-,6,0,6
1,5,"[Element Ce, Element O, Element V]",CeVO3,60.24895049344496,6.588684439037938,Cubic,1,3.0,5479.535,O,-,6,0,6
1,22,"[Element O, Element V]",V9O13,266.1461866715108,4.158212174713048,Monoclinic,3,2.888888888888889,5484.769,O,-,5,0,5
1,36,"[Element O, Element P, Element Sr, Element V]",SrVPO6,477.00972045437885,3.6974147251093976,Monoclinic,3,5.0,5469.894,O,-,4,0,4
1,38,"[Element F, Element Li, Element O, Element V]",Li3V4(OF3)3,437.41754075023675,3.3678118990944355,Triclinic,6,3.0,5479.463,F,O,4,2,6
1,14,"[Element Co, Element Li, Element O, Element V]",Li2V3CoO8,152.00922759231065,3.8630848821147836,Monoclinic,3,4.0,5486.053,O,-,4,0,4
1,14,"[Element Nb, Element O, Element V]",NbVO5,203.48917055108393,3.6532967443670694,Tetragonal,5,5.0,5468.207,O,-,4,0,4
1,34,"[Element Fe, Element O, Element P, Element V]",VFe3(PO4)6,474.8266801218416,2.756817883389576,Trigonal,7,NAN,5482.723,O,-,6,0,6
1,28,"[Element Cu, Element Li, Element O, Element V]",Li4V5Cu3O16,290.602052410542,4.16617445736311,Monoclinic,3,4.0,5470.367,O,-,4,0,4
1,24,"[Element F, Element Li, Element O, Element V]",Li2VO2F,224.97319213866342,3.4195149648819045,Monoclinic,3,3.0,5482.082,F,O,6,0,6
1,28,"[Element O, Element V, Element Zn]",V2ZnO4,319.7437751074892,4.804664737781012,Orthorhombic,4,3.0,5485.839,O,-,6,0,6
1,15,"[Element Cr, Element Li, Element O, Element V]",Li3VCr3O8,148.20111061269307,3.986025745419245,Monoclinic,3,4.0,5482.36,O,-,6,0,6
1,36,"[Element Mn, Element O, Element P, Element Sb, Element V]",Mn3VSb2(PO4)6,486.7099696176944,3.5110582367532395,Trigonal,7,4.0,5479.325,O,-,6,0,6
1,32,"[Element Cr, Element Li, Element O, Element V]",Li4V3CrO8,302.80287103803664,3.9547632615423853,Triclinic,6,3.0,5482.008,O,-,6,0,6
1,86,"[Element Li, Element O, Element P, Element V]",Li3V3P8O29,1169.344304280021,2.514699557488702,Triclinic,6,5.0,5482.238,O,-,6,0,6
1,44,"[Element Li, Element Mn, Element O, Element P, Element V]",Li2MnV(P2O7)2,538.162105086757,2.885926281772543,Triclinic,6,3.0,5477.467,O,-,6,0,6
1,56,"[Element Ba, Element Ca, Element O, Element P, Element V]",BaCaVP2O9,761.2866454221595,3.7891284136738093,Monoclinic,3,4.0,5469.355,O,-,1,0,1
1,27,"[Element O, Element Si, Element V]",V(SiO3)2,335.85814968179454,3.0126134334480135,Triclinic,6,4.0,5476.699,O,-,5,0,5
1,49,"[Element Al, Element O, Element Sb, Element Si, Element V]",Al4V13Si2(SbO14)2,579.5361905123626,4.349050802971984,Monoclinic,3,2.3076923076923075,5479.254,O,-,5,0,5
1,14,"[Element Fe, Element Li, Element O, Element V]",LiVFeO4,163.11011181601637,3.618653235561391,Orthorhombic,4,4.0,5468.947,O,-,4,0,4
1,42,"[Element Co, Element Li, Element O, Element P, Element V]",Li8VCo3(PO4)6,478.35230722313355,2.961418349560967,Trigonal,7,4.0,5480.624,O,-,6,0,6
1,16,"[Element F, Element Li, Element O, Element V]",Li3V(OF)2,145.7890576575777,3.229298477868561,Monoclinic,3,3.0,5481.29,F,O,2,4,6
1,88,"[Element Mg, Element O, Element Pb, Element V]",MgV2PbO7,1233.7096637402008,4.7957940797279495,Monoclinic,3,5.0,5471.715,O,-,4,0,4
1,20,"[Element H, Element Li, Element O, Element P, Element V]",Li2VPHO5,205.6375370359332,2.855382952069344,Triclinic,6,2.0,5477.938,H,O,4,3,7
1,34,"[Element O, Element P, Element V]",V2(PO4)3,454.5533959684976,2.8260339381811623,Triclinic,6,4.5,5482.159,O,-,6,0,6
1,22,"[Element Al, Element O, Element V]",Al2V2O7,216.4576658228253,4.109458465670898,Cubic,1,4.0,5483.035,O,-,6,0,6
1,48,"[Element Li, Element O, Element P, Element V]",LiV2P5O16,652.3280611795569,2.6457677049094026,Monoclinic,3,3.0,5472.503,O,-,6,0,6
1,28,"[Element Ba, Element K, Element O, Element V]",KBaVO4,502.56135113745046,3.8508489359250437,Orthorhombic,4,5.0,5471.845,O,-,4,0,4
1,98,"[Element Li, Element O, Element P, Element V]",Li9V3P8O29,1154.1550989337277,2.6676303948134907,Triclinic,6,3.0,5478.644,O,-,6,0,6
1,20,"[Element Cu, Element O, Element V, Element Y]",YV4(CuO4)3,202.8162221515172,5.528977920231254,Cubic,1,3.75,5481.832,O,-,6,0,6
1,28,"[Element As, Element O, Element V]",VAsO5,385.42224870884246,3.5476803321391794,Orthorhombic,4,5.0,5469.239,O,-,5,0,5
1,18,"[Element F, Element O, Element V]",V3O5F,193.69490999461576,4.317684758202934,Monoclinic,3,3.6666666666666665,5486.391,F,O,3,3,6
1,38,"[Element Na, Element O, Element Sr, Element V]",Na2SrV4O12,589.7256168673083,2.9811158348449425,Tetragonal,5,5.0,5471.153,O,-,4,0,4
1,30,"[Element Na, Element O, Element V]",NaV4O10,405.7459483473163,3.1655921308212385,Orthorhombic,4,4.75,5470.479,O,-,4,0,4
1,32,"[Element F, Element O, Element V]",V4O7F5,419.2755306285427,3.2535776474933806,Triclinic,6,4.75,5479.761,F,O,2,2,4
1,16,"[Element F, Element O, Element V]",VO2F,218.14622778729918,3.103848241017867,Orthorhombic,4,5.0,5468.416,F,O,1,3,4
1,24,"[Element Li, Element Mn, Element O, Element V]",Li5Mn2V5O12,235.89723818938495,4.162176035872925,Monoclinic,3,3.0,5480.921,O,-,6,0,6
1,20,"[Element F, Element Li, Element O, Element V]",Li6V2OF11,209.97145450767658,2.9143324741327348,Triclinic,6,3.5,5477.995,F,O,5,1,6
1,22,"[Element F, Element Li, Element O, Element V]",Li2V2OF6,292.22745573453943,2.792930394058852,Triclinic,6,3.0,5480.56,F,O,5,1,6
1,88,"[Element Li, Element O, Element P, Element V]",Li4V3P8O29,1176.3134820097935,2.5193974674291035,Triclinic,6,4.666666666666667,5480.474,O,-,6,0,6
1,14,"[Element Na, Element O, Element Si, Element V]",NaVSiO4,155.644428321805,3.5423477006249655,Orthorhombic,4,3.0,5485.825,O,-,6,0,6
1,40,"[Element Li, Element O, Element P, Element V]",Li3V2(PO4)3,430.7337548761844,3.142865209092913,Monoclinic,3,3.0,5479.668,O,-,6,0,6
1,20,"[Element Bi, Element Mg, Element O, Element V]",Mg2VBiO6,278.0007179542887,4.832613670050193,Orthorhombic,4,5.0,5470.474,O,-,4,0,4
1,88,"[Element Li, Element O, Element P, Element V]",Li4V3P8O29,1177.4497971058368,2.5169660861657914,Triclinic,6,4.666666666666667,5481.007,O,-,6,0,6
1,24,"[Element F, Element O, Element V]",V2O3F,260.2934114219479,4.309462504507525,Orthorhombic,4,3.5,5482.085,F,O,3,3,6
1,30,"[Element F, Element O, Element V]",V6O5F19,431.15643295081634,2.875486384718338,Triclinic,6,4.833333333333333,5473.772,F,O,3,1,4
1,41,"[Element F, Element Li, Element O, Element V]",Li11V6O5F19,450.9563977596564,3.03037782735964,Triclinic,6,3.0,5479.139,F,O,4,2,6
1,88,"[Element Li, Element O, Element P, Element V]",Li4V3P8O29,1175.1432660271932,2.521906301260807,Triclinic,6,4.666666666666667,5480.496,O,-,6,0,6
1,28,"[Element Li, Element O, Element Sn, Element Te, Element V]",Li4V3Sn3(TeO8)2,345.4344155210061,5.037406699008076,Monoclinic,3,2.3333333333333335,5478.161,O,-,6,0,6
1,108,"[Element O, Element P, Element Pb, Element V]",VPPbO6,1554.5517855344187,4.936416699354469,Orthorhombic,4,5.0,5469.347,O,-,3,0,3
1,48,"[Element K, Element O, Element Sb, Element V]",KV2SbO8,758.3964304708423,3.422132207031295,Orthorhombic,4,5.0,5470.955,O,-,4,0,4
1,38,"[Element Li, Element Mn, Element O, Element P, Element V]",Li2MnV(PO4)3,462.6967690588964,2.9046223304256453,Triclinic,6,4.0,5479.597,O,-,6,0,6
1,20,"[Element Cr, Element O, Element V]",VCrO3,209.82863040112494,4.777894950836762,Triclinic,6,3.0,5481.021,O,-,6,0,6
1,24,"[Element Co, Element O, Element P, Element V]",V3Co(PO4)4,288.9559603140862,3.399987097106125,Monoclinic,3,3.3333333333333335,5482.238,O,-,6,0,6
1,88,"[Element Li, Element O, Element P, Element V]",Li4V3P8O29,1175.6950612901912,2.5207226814629715,Triclinic,6,4.666666666666667,5480.529,O,-,6,0,6
1,26,"[Element F, Element Li, Element O, Element V]",Li6V(OF)3,261.8422097259456,2.506019287668734,Triclinic,6,3.0,5481.843,F,O,3,3,6
1,24,"[Element La, Element O, Element V]",LaVO4,344.52645851006787,4.8938919861180405,Monoclinic,3,5.0,5470.039,O,-,4,0,4
1,4,"[Element Cu, Element O, Element V]",VCuO2,46.53171212841521,5.227536422985184,Trigonal,7,3.0,5483.596,O,-,6,0,6
1,30,"[Element F, Element O, Element V]",V6O5F19,426.41788057372986,2.9074401171116753,Triclinic,6,4.833333333333333,5473.769,F,O,3,1,4
1,60,"[Element Li, Element O, Element P, Element V]",LiV3(P3O10)2,853.9059583693319,2.5886884886886063,Orthorhombic,4,3.0,5468.035,O,-,5,0,5
1,72,"[Element Li, Element O, Element P, Element V]",LiV2(PO4)3,887.514201164198,2.946735781715859,Monoclinic,3,4.0,5481.64,O,-,6,0,6
1,20,"[Element Ge, Element O, Element V, Element Zn]",VZn(GeO3)2,244.79171535263035,4.851907903408503,Monoclinic,3,2.0,5480.484,O,-,6,0,6
1,16,"[Element Ge, Element Li, Element O, Element V]",LiVGeO5,201.96807148539955,3.4616941763149045,Monoclinic,3,5.0,5468.665,O,-,4,0,4
1,52,"[Element C, Element Li, Element O, Element P, Element V]",Li3VPCO7,560.6169008884176,2.686458640970931,Triclinic,6,2.0,5478.316,O,-,6,0,6
1,34,"[Element Ni, Element O, Element P, Element V]",V3Ni(PO4)6,458.9242065931915,2.8271676186755745,Trigonal,7,5.0,5481.013,O,-,6,0,6
1,28,"[Element Li, Element O, Element Sb, Element V]",Li4V5Sb3O16,326.42290359116043,4.597406280391946,Triclinic,6,2.6,5481.449,O,-,6,0,6
1,42,"[Element Li, Element Ni, Element O, Element V]",Li7V6Ni5O24,427.11714699917707,4.01098202087926,Triclinic,6,5.0,5469.73,O,-,4,0,4
1,124,"[Element O, Element P, Element V]",V4(P2O7)3,1617.8013973709258,2.979056491682568,Orthorhombic,4,3.0,5476.617,O,-,6,0,6
1,40,"[Element Al, Element O, Element V]",AlV3O6,445.3555269424042,4.113394256195962,Trigonal,7,3.0,5482.733,O,-,6,0,6
1,18,"[Element O, Element Ta, Element V]",Ta2VO6,216.64768856000316,7.800112365953727,Tetragonal,5,2.0,5483.495,O,-,6,0,6
1,14,"[Element Cr, Element Li, Element O, Element V]",Li2V3CrO8,152.62074007798822,3.772129736023625,Monoclinic,3,3.6666666666666665,5485.439,O,-,4,0,4
1,32,"[Element F, Element O, Element V]",V4OF11,434.3869999472521,3.2779642058880163,Triclinic,6,3.25,5480.109,F,O,5,0,5
1,32,"[Element Cl, Element Cu, Element O, Element Pb, Element V]",V2Cu3Pb(ClO4)2,534.5427405985419,4.3404927209813176,Orthorhombic,4,5.0,5468.261,O,-,4,0,4
1,86,"[Element Li, Element O, Element P, Element V]",Li3V3P8O29,1170.2864999200679,2.5126749772177557,Triclinic,6,5.0,5480.553,O,-,6,0,6
1,112,"[Element La, Element Na, Element O, Element V]",Na3LaV2O8,1634.903429831243,3.556936251113533,Orthorhombic,4,5.0,5468.81,O,-,4,0,4
1,28,"[Element Cr, Element Li, Element O, Element Te, Element V]",Li4V3Cr3(TeO8)2,312.8330304270046,4.500006059174649,Triclinic,6,3.6666666666666665,5484.475,O,-,6,0,6
1,26,"[Element H, Element Li, Element O, Element P, Element V]",LiVP2HO8,279.6886923864491,2.9546935183050103,Triclinic,6,4.0,5478.459,O,-,6,0,6
1,32,"[Element Li, Element O, Element P, Element V]",LiVPO5,353.16034593219314,3.175752168236724,Triclinic,6,4.0,5479.723,O,-,6,0,6
1,24,"[Element Li, Element O, Element P, Element V]",Li2VP2O7,276.23579083205067,2.8706029114805527,Triclinic,6,2.0,5471.006,O,-,6,0,6
1,36,"[Element Fe, Element Ni, Element O, Element P, Element V]",VFe2Ni3(PO4)6,436.1449847298488,3.459092686316411,Trigonal,7,5.0,5481.19,O,-,6,0,6
1,28,"[Element Ag, Element Cu, Element O, Element V]",VCuAgO4,350.1628767663686,5.431767505155491,Orthorhombic,4,5.0,5468.775,O,-,4,0,4
1,48,"[Element O, Element V]",VO2,565.9527144585543,3.893628640578533,Tetragonal,5,4.0,5487.071,O,-,4,0,4
1,95,"[Element Cu, Element O, Element V]",V18Cu20O57,1050.3676462761773,4.900563531370508,Triclinic,6,4.777777777777778,5484.837,O,-,5,0,5
1,12,"[Element La, Element O, Element V]",LaVO4,187.39802389193812,4.498647422451785,Tetragonal,5,5.0,5468.822,O,-,4,0,4
1,80,"[Element Ge, Element Mg, Element O, Element V]",Mg3V2(GeO4)3,892.9193674905374,4.349486172478709,Cubic,1,3.0,5476.591,O,-,6,0,6
1,14,"[Element Al, Element O, Element V]",AlV2O4,149.17242732136614,4.293757448797917,Cubic,1,2.5,5483.816,O,-,6,0,6
1,15,"[Element Mg, Element O, Element V]",MgV4O10,213.1832251459849,3.0227382202156186,Orthorhombic,4,4.5,5469.287,O,-,4,0,4
